,method,fold,Age,Sex,Steroid,Antivirals,Fatigue,Malaise,Anorexia,Liver Big,Liver Firm,Spleen Palpable,Spiders,Ascites,Varices,Bilirubin,Alk Phosphate,Sgot,Albumin,Protime,Histology
33,support_relevance_centrality,2,0.0,0.0004907386315481974,0.0,0.0,0.0,0.002976202773928682,0.0,0.00048671927274906193,0.0,0.0,0.0,0.0,0.0,0.13383165921806905,0.001057844938586665,0.0,0.10467623316090613,0.7564806020042122,0.0
34,confidence_relevance_centrality,2,0.0,0.0038880209937057885,0.0,0.0,0.0,0.01787322111364846,0.0,0.003733849521264613,0.0,0.0,0.0,0.0,0.0,0.29049678656472566,0.009086423940603496,0.0,0.06809041898573205,0.60683127888032,0.0
35,lift_relevance_centrality,2,0.0,0.0069983541643427105,0.0,0.0,0.0,0.025656201389902253,0.0,0.006922993898230149,0.0,0.0,0.0,0.0,0.0,0.44418003130659434,0.014637093552890997,0.0,0.03333606002600482,0.4682692656620347,0.0
36,equal_relevance_centrality,2,0.0,0.0038050276699095604,0.0,0.0,0.0,0.017491701047381337,0.0,0.0036541471269549196,0.0,0.0,0.0,0.0,0.0,0.2870073146886238,0.008892466005326624,0.0,0.06897378311375651,0.6101755603480472,0.0
37,relevance_relevance_centrality,2,0.0,0.0016932122051266933,0.0,0.0,0.0,0.008505161780471452,0.0,0.0016895338783827333,0.0,0.0,0.0,0.0,0.0,0.19009573319313133,0.003456311996734631,0.0,0.08919085756395022,0.7053691893822029,0.0
38,perm,3,0.28571428571428564,-0.0,-0.0,-0.0,-0.0,-0.0,0.14285714285714282,0.49999999999999983,-0.0,-0.0,-0.0,-0.0,-0.0,0.5714285714285713,-0.0,-0.0,0.14285714285714282,-0.21428571428571422,-0.42857142857142844
39,gini,3,0.10364977703296094,0.0,0.0,0.0,0.0,0.0,0.009991723658579059,0.07710957373355203,0.0,0.0,0.0,0.0,0.0,0.37853355483309936,0.028013590457507623,0.0,0.1315576948379575,0.19735904919837505,0.07378503624796841
40,shap,3,0.09970591592961062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45547815500249095,0.012629310653855775,0.0,0.15438033111733077,0.18271453102076426,0.0950917562759477
41,support_impurity_centrality,3,0.25332414100403644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33998213447800757,0.004131581719397207,0.0,0.16720548410993522,0.1248774403267758,0.11047921836184774
42,confidence_impurity_centrality,3,0.2240952590101401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24875703205727628,0.00724583721482103,0.0,0.23200454677821072,0.19763732349404595,0.09026000144550604
43,lift_impurity_centrality,3,0.23237291895441425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24349655001511653,0.009876949692490908,0.0,0.19771776302642852,0.23112522717830714,0.08541059113324269
44,equal_impurity_centrality,3,0.22110254943311136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24569797451538292,0.007149071729811796,0.0,0.2289062115785984,0.19960094049431398,0.09754325224878159
45,relevance_impurity_centrality,3,0.25160677321693997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3367140026736671,0.0024573451057202226,0.0,0.17313476100458622,0.1382393994923167,0.09784771850676982
46,support_relevance_centrality,3,0.008353001819003586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20892097154334466,0.09449065150551757,0.0,0.008993645657376958,0.6773840790743707,0.001857650400386519
47,confidence_relevance_centrality,3,0.03374132463727426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2336984251942055,0.08082328271353488,0.0,0.03226044934729817,0.6080088043686828,0.011467713739004428
48,lift_relevance_centrality,3,0.06405284202160344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26962524296017737,0.05989688549728596,0.0,0.07293542955514151,0.5116302780143067,0.02185932195148502
49,equal_relevance_centrality,3,0.03316395867907623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22969948571443877,0.07944027204130244,0.0,0.031708423442875756,0.613233293935785,0.012754566186521881
50,relevance_relevance_centrality,3,0.02569966373514619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22899475071688796,0.08192004966421729,0.0,0.030708822327490413,0.6270101795675129,0.005666533988745254
